Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",M
NOR,Archery,"Archery Women's Individual",Gold,"Ragnhild Margrethe Aamodt",F
NOR,"Art Competitions","Art Competitions Mixed Painting, Graphic Arts",Gold,"Thomas Valentin Aas",M
FRA,Athletics,"Athletics Men's 10 mile Walk",Gold,"Ren Abadie",M
BLR,Athletics,"Athletics Men's 4 x 400 metres Relay",Gold,"Aleksey Aleksandrovich Abalmasov",M
FRA,Athletics,"Athletics Men's 400 metres",Gold,"Luc Abalo",M
FRA,Athletics,"Athletics Men's 400 metres",Gold,"Luc Abalo",M
CMR,Athletics,"Athletics Men's 5,000 metres",Gold,"Jouan Patrice Abanda Etong",M
ESP,Athletics,"Athletics Men's 800 metres",Gold,"Jos Mara Abarca Plotas",M
ESP,Athletics,"Athletics Men's Discus Throw",Gold,"Alejandro Abascal Garca",M
FRA,Athletics,"Athletics Men's Long Jump",Gold,"Jol Marc Abati",M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",Gold,"Carmine Abbagnale",M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",Gold,"Carmine Abbagnale",M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",Gold,"Giuseppe Abbagnale",M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",Gold,"Giuseppe Abbagnale",M
PAK,"Jeu De Paume","Jeu De Paume Men's Singles",Gold,"Lala Abdul Rashid",M
URS,"Modern Pentathlon","Modern Pentathlon Women's Individual",Gold,"Zagalav Abdulbekovich Abdulbekov",M
UZB,Rowing,"Rowing Men's Single Sculls",Gold,"Mukhammad Kadyr Abdullayev",M
AZE,Rowing,"Rowing Women's Coxed Fours",Gold,"Namiq Yadulla Abdullayev",M
USA,Sailing,"Sailing Men's One Person Heavyweight Dinghy",Gold,"Julius Shareef Abdur-Rahim",M
EUN,Sailing,"Sailing Mixed 18 foot",Gold,"Andrey Khakimovich Abduvaliyev",M
ESP,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,"Abelardo Fernndez Antua",M
