Athlete_ID,event_anzahl,name,sex,Goldmedallien,Silbermedallien,Bronzemmedallien
94406,8,"Michael Fred Phelps, II",M,23,3,2
67046,7,"Larysa Semenivna Latynina (Diriy-)",F,9,5,4
4198,8,"Nikolay Yefimovich Andrianov",M,7,5,3
23426,6,"Natalie Anne Coughlin (-Hall)",F,3,4,5
85286,7,"Aleksey Yuryevich Nemov",M,4,2,6
124146,5,"Franziska van Almsick",F,0,4,6
89187,7,"Takashi Ono",M,5,4,4
90007,3,"Merlene Joyce Ottey-Page",F,0,3,6
121258,5,"Dara Grace Torres (-Hoffman, -Minas)",F,4,4,4
74420,4,"Edoardo Mangiarotti",M,6,5,2
106296,5,"Heikki Ilmari Savolainen",M,2,1,6
70965,5,"Ryan Steven Lochte",M,6,3,3
109161,7,"Borys Anfiyanovych Shakhlin",M,7,4,2
120548,5,"Yury Yevlampiyevich Titov",M,1,5,3
89706,11,"Carl Townsend Osburn",M,5,4,2
5700,5,"Polina Hryhorivna Astakhova",F,5,2,3
28790,8,"Aleksandr Nikolayevich Dityatin",M,3,6,1
58702,5,"Eizo Kenmotsu",M,3,3,3
62869,6,"Margit Korondi (Kronstein-, -Plachy, -Szalay)",F,2,2,4
83448,6,"Sofiya Ivanovna Muratova (Poduzdova-)",F,2,2,4
106161,4,"Dmitry Ivanovich Sautin",M,2,2,4
109416,7,"Vitaly Venediktovich Shcherbo",M,6,0,4
117045,5,"Alfred Gomer Albert "Alf" Swahn",M,3,3,3
39077,4,"Giulio Gaudini",M,3,4,2
45039,4,"Gary Wayne Hall, Jr.",M,5,3,2
57998,7,"Sawao Kato",M,8,3,1
58489,6,"gnes Keleti-Srkny (Klein)",F,5,3,2
119922,4,"Jennifer Elisabeth "Jenny" Thompson (-Cumpelik)",F,8,3,1
127501,7,"Mikhail Yakovlevich Voronin",M,2,6,1
122392,6,"Mitsuo Tsukahara",M,5,1,3
122726,4,"Lyudmila Ivanovna Turishcheva (-Borzova)",F,4,3,2
124626,2,"Theodora Elisabeth Gerarda "Anky" van Grunsven",F,3,5,1
21402,7,"Viktor Ivanovych Chukarin",M,7,3,1
28051,2,"Piero D'Inzeo",M,0,2,4
35550,3,"Birgit Fischer-Schmidt",F,8,4,0
55692,3,"Leisel Marie Jones",F,3,5,1
73017,6,"Eugen Mack",M,2,4,2
84381,6,"Akinori Nakayama",M,6,2,2
89117,4,"Susan "Susie" O'Neill",F,2,4,2
100167,2,"Daniel Jean Claude Ernest Revenu",M,1,0,5
114216,4,"Josef "Sepp" Stalder",M,1,3,3
118030,5,"Masao Takemoto",M,1,3,3
6430,6,"Shirley Frances Babashoff",F,3,6,0
9094,3,"Francis Joseph Edmund "Frank" De Beaurepaire",M,0,3,3
11642,7,"Matthew Nicholas "Matt" Biondi",M,8,2,1
16816,4,"Antje Buschschulte (-Meeuw)",F,0,0,5
17755,3,"Veronica Angella Campbell-Brown",F,3,3,2
18826,6,"Vra slavsk (-Odloilov)",F,7,4,0
26196,3,"Adrianus Egbert Willem "Arie" de Jong",M,0,0,5
31503,3,"Philip Aron "Phil" Edwards",M,0,0,5
39726,3,"Aladr Gerevich (-Gerei)",M,7,1,2
67759,2,"Pavel Serafimovich Lednyov",M,2,2,3
79937,5,"Shannon Lee Miller (-Phillips, -Falconetti)",F,2,2,3
83715,4,"Aliya Farkhatovna Mustafina",F,2,2,3
87390,7,"Paavo Johannes Nurmi",M,9,3,0
121922,2,"Giovanna Trillini",F,4,1,3
126257,2,"Maria Valentina Vezzali",F,6,1,2
129248,5,"Karl Magnus Wegelius",M,0,1,4
129726,2,"Isabelle Regina Werth",F,6,4,0
130165,3,"Emil Edvin Wide (Hermansson-)",M,0,1,4
3281,4,"Simona Amnar (-Tabr)",F,3,1,3
19087,3,"Philippe Louis Eugne Cattiau",M,3,4,1
22570,5,"Nadia Elena Comneci (-Conner)",F,5,3,1
24093,4,"Lszl Cseh, Jr.",M,0,4,2
25975,4,"Inge de Bruijn",F,4,2,2
28052,2,"Raimondo D'Inzeo",M,1,2,3
30361,5,"Roger Franois Ducret",M,3,4,1
46393,6,"Dagmar Hase",F,1,5,1
53861,5,"Karin Janz (-Bttner)",F,2,3,2
62252,2,"Pavel Anatolyevich Kolobkov",M,1,2,3
69288,3,"Jason Edward Lezak",M,4,2,2
76659,4,"Roland Matthes",M,4,2,2
78994,5,"William G. Merz",M,0,1,4
96173,4,"Aleksandr Vladimirovich Popov",M,4,5,0
99869,2,"Ildik Rejt-Ujlaky-Sgi",F,2,3,2
107185,5,"Allison Rodgers Schmitt",F,4,2,2
113912,7,"Mark Andrew Spitz",M,9,1,1
115768,3,"Shirley Barbara Strickland de la Hunty",F,3,1,3
119835,5,"Petria Ann Thomas (-Jones)",F,3,4,1
120087,6,"Ian James Thorpe",M,5,3,1
1017,4,"Nathan Ghar-Jun Adrian",M,5,1,2
3880,3,"Agneta Monica Andersson",F,3,2,2
9034,4,"Amanda Ray Beard (-Brown)",F,2,4,1
23549,4,"Kirsty Leigh Coventry (-Seward)",F,2,4,1
41040,4,"Gina Elena Gogean (-Groza)",F,0,2,3
51023,4,"Daniela Hunger",F,2,1,3
59380,4,"Svetlana Vasilyevna Khorkina",F,2,4,1
63400,2,"Katalin Kovcs",F,3,5,0
78005,4,"Anna Maree Devenish Meares",F,2,1,3
79523,5,"Georg "Georges" Miez",M,4,3,1
80033,4,"Lavinia Corina Miloovici",F,2,1,3
86721,2,"Christian Nol",M,1,0,4
88904,6,"Otto Martin Olsen",M,4,3,1
117509,5,"Irena Szewiska-Kirszenstein",F,3,2,2
118708,3,"Olga Tass-Lemhnyi (Todenbier-)",F,1,3,2
120661,2,"Mark James Todd",M,2,1,3
124336,5,"Pieter Cornelis Martijn van den Hoogenband",M,3,2,2
130311,4,"Bradley Marc Wiggins",M,5,1,2
455,4,"Denis Mikhaylovich Ablyazin",M,0,3,2
15676,4,"Roland Brckner",M,1,1,3
25215,7,"Charles Meldrum "Charlie" Daniels",M,4,1,2
28313,2,"Tirunesh Dibaba Keneni",F,3,0,3
29451,2,"Jetze Doorman",M,0,0,4
32552,6,"Kornelia Ender (-Matthes, -Grummt)",F,4,4,0
32982,5,"Axel Mauritz Eriksson",M,1,1,3
34551,4,"Allyson Michelle Felix",F,6,3,0
35512,2,"Gustav Fischer",M,0,3,2
36840,4,"Dawn Lorraine Fraser",F,4,4,0
44569,3,"Grant George Hackett",M,3,3,1
47479,4,"Rdiger Helm",M,3,0,3
50011,7,"Mariya Kindrativna Horokhovska",F,2,5,0
50660,2,"Huang Xuechen",F,0,3,2
60893,3,"Kosuke Kitajima",M,4,1,2
61257,2,"Reiner Klimke",M,6,0,2
66296,4,"Per Fredric Landelius",M,0,3,2
66826,4,"Niels Hansen Ditlev Larsen",M,1,1,3
68741,5,"Lisbeth Constance "Libby" Lenton-Trickett",F,4,1,2
75867,5,"Angelina L. "Angel" Martino (Myers-, -Sims)",F,3,0,3
76035,4,"Gustavo Marzi",M,2,5,0
77534,2,"Bradley John "Brad" McGee",M,1,1,3
78733,4,"Franco Menichelli",M,1,1,3
80345,5,"Hryhoriy Anatoliyovych Misiutin",M,1,4,1
84997,2,"Josef Carl Peter Neckermann",M,2,2,2
88657,4,"Elisabeta Oleniuc-Lip",F,5,2,1
89902,4,"sten stensen",M,0,3,2
100423,2,"Philippe Claude Riboud",M,2,2,2
113935,7,"Lloyd Spencer Spooner",M,4,1,2
6602,4,"Eric Natanael Backman",M,0,1,3
8662,2,"Sabine Christiane Bau",F,1,2,2
11528,4,"Edwin "Teddy" Billington",M,0,1,3
12946,2,"Ato Jabari Boldon",M,0,1,3
13447,3,"Claes Arne Borg",M,1,2,2
14863,3,"George Thomas Breen",M,0,1,3
16018,2,"Georges Eugne William "Go" Buchard",M,2,3,1
16501,3,"Vladimir Valeryevich Bure",M,0,1,3
18257,7,"Gustaf Vilhelm Carlberg",M,3,4,0
19648,2,"Henri Chammartin",M,1,2,2
22243,3,"Veronica Cogeanu-Cochela",F,2,3,1
22942,3,"Margaret Joyce Cooper (-Badcock)",F,0,1,3
28473,2,"Wilfried Dietrich",M,1,2,2
29791,6,"Burton Cecil Downing",M,2,3,1
36870,3,"Shelly-Ann Fraser-Pryce",F,2,3,1
36960,3,"Gert Fridolf Fredriksson",M,6,1,1
37123,6,"Konrad Frey",M,3,1,2
39035,3,"Justin Alexander Gatlin",M,1,2,2
43252,2,"Mariya Zdravkova Grozdeva (Grigorova-)",F,2,0,3
45684,3,"Brendan Joseph Hansen",M,3,1,2
45832,2,"Pontus Hanson",M,0,1,3
47399,4,"Albert Helgerud (Thorvaldsen-)",M,2,3,1
48318,2,"Olaf Heukrodt",M,1,2,2
49479,3,"Anders Sren Holmertz (Johansson-)",M,0,4,1
51618,2,"Josefa Idem-Guerrini",F,1,2,2
51787,2,"Yukio Iketani",M,0,1,3
55202,5,"Carl Hugo Johansson",M,2,0,3
56085,2,"Jacqueline "Jackie" Joyner-Kersee",F,3,1,2
56257,2,"Sigfrid Harald Alexander Julin",M,0,1,3
59609,3,"Kerstin Kielga",F,0,1,3
61237,4,"Michael George Klim",M,2,3,1
61650,3,"Rita Kbn",F,2,3,1
63691,3,"Steffi Krker (-Biskupek)",F,0,1,3
64683,4,"Frank X. Kugler",M,0,1,3
69210,4,"Frederick Carlton "Carl" Lewis",M,9,1,0
69529,4,"Li Xiaoshuang",M,2,3,1
69653,4,"Einar Liberg",M,4,2,1
74463,4,"Tamara Ivanovna Manina",F,2,3,1
76258,2,"Carlo Massullo",M,1,2,2
76551,3,"Takeshi Matsuda",M,0,1,3
77653,3,"Kathleen "Kitty" McKane (-Godfree)",F,1,2,2
86255,2,"Michael Nikolay",M,0,1,3
89894,3,"Inna Volodymyrivna Osypenko-Radomska",F,1,2,2
90202,2,"Dimitrij Ovtcharov",M,0,1,3
97259,2,"Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova)",F,1,2,2
100133,5,"Mary Lou Retton (-Kelley)",F,1,2,2
100315,2,"Kimberly Susan "Kim" Rhode (-Harryman)",F,3,1,2
101050,6,"Viljo Eino "Ville" Ritola (Koukkari-)",M,5,3,0
102239,2,"Aleksandr Anatolyevich Romankov",M,1,2,2
107890,5,"Karl Alfred Markus Schwarzmann",M,3,1,2
115988,4,"Leon tukelj",M,3,1,2
117046,4,"Oscar Gomer Swahn",M,3,1,2
117726,2,"Miya Tachibana",F,0,4,1
118016,2,"Miho Takeda",F,0,4,1
120742,3,"Nestor Kallenpoika "Nestori" Toivonen",M,0,1,3
122415,4,"Shuji Tsurumi",M,2,3,1
123056,3,"Kohei Uchimura",M,3,4,0
123715,4,"Ladislav Vcha",M,1,2,2
128626,2,"Wang Yifu",M,2,3,1
129196,4,"Andreas Wecker",M,1,2,2
130071,4,"Max Antony Whitlock",M,2,0,3
130779,3,"Alexander Sheldon "Alex" Wilson",M,0,1,3
132346,3,"Tsuyoshi Yamanaka",M,0,4,1
133279,2,"Yordan Yovchev Yovchev",M,0,1,3
134386,2,"Steffen Zesner",M,0,1,3
135379,3,"Erika Zuchold (Barth-)",F,0,4,1
125020,5,"Albertson Van Zo Post",M,2,1,2
127216,4,"Dana Whitney Vollmer (-Grant)",F,5,1,1
130999,2,"Hans Gnter Winkler",M,5,1,1
131805,2,"Wu Minxia",F,5,1,1
133350,2,"Yu Nam-Gyu",M,1,0,3
8456,2,"Igor Mikhaylovich Basinsky",M,0,2,2
12286,2,"Grard Blitz, Jr.",M,0,2,2
13462,3,"Gustavo Frana Borges",M,0,2,2
13691,3,"Valeriy Pylypovych Borzov",M,2,1,2
15721,5,"Julien Louis Brul",M,1,3,1
17271,2,"Franco Giorgio Cagnotto",M,0,2,2
17369,2,"Wladimiro Calarese",M,0,2,2
17687,3,"Cate Natalie Campbell",F,2,1,2
19920,3,"Andrew Murray "Boy" Charlton",M,1,3,1
23519,5,"Alicia Jayne Coutts",F,1,3,1
25774,2,"Dominique Margaux Dawes (-Thompson)",F,1,0,3
26469,3,"Fernand Alphonse Marie Frdric de Montigny",M,0,2,2
28978,2,"Marina Viktorovna Dobrancheva-Logvinenko",F,2,1,2
29663,4,"Natasa Douchev-Janics",F,3,2,1
29958,3,"Heike Gabriela Drechsler (Daute-)",F,2,1,2
31565,3,"Krisztina Egerszegi",F,5,1,1
33212,2,"Carlos Mauricio Espnola Lorenzo",M,0,2,2
33467,2,"Peter Maxwell Evans",M,1,0,3
33582,6,"George Louis Eyser",M,3,2,1
35803,2,"Laura lodie Flessel-Colovic",F,2,1,2
42229,3,"Torben Schmidt Grael",M,2,1,2
43151,4,"Michael Gro",M,3,2,1
43847,2,"Erzsbet Gulys-Kteles",F,1,3,1
43977,3,"Guo Shuang",F,0,2,2
44064,5,"Koji Gushiken",M,2,1,2
48376,3,"Emilie-Joane Heymans",F,0,2,2
49344,2,"Virginia Helen Antoinette Holgate-Leng (-Elliott)",F,0,2,2
49457,2,"Knut Holmann",M,3,2,1
52053,2,"Gza Imre",M,0,2,2
53311,3,"Thomas Michael "Tom" Jager",M,5,1,1
58521,2,"Klete D. Keller",M,2,1,2
59342,2,"Yekaterina Anatolyevna Khodotovich-Karsten",F,2,1,2
61251,4,"Viktor Yakovlevich Klimenko",M,1,3,1
63087,2,"Klaus Kste",M,1,0,3
64806,2,"Gyz Kulcsr",M,4,0,2
64842,2,"Georgijs Kuikovs",M,0,2,2
66230,2,"Jean-Franois Lamour",M,2,1,2
67625,2,"Tatyana Romanovna Lebedeva",F,1,3,1
68189,7,"Willis Augustus Lee, Jr.",M,5,1,1
69459,6,"Li Ning",M,3,2,1
69797,3,"Fritz Ligges",M,1,0,3
70468,4,"Viktor Nikitovich Lisitsky",M,0,5,0
70711,5,"Anastasiya Valeryevna "Nastia" Liukin",F,1,3,1
77072,3,"Viktor Georgiyevich Mazanov",M,0,2,2
84869,2,"Vladimir Aliverovich Nazlymov",M,3,2,1
85145,3,"Gary Malcolm Neiwand",M,0,2,2
87298,5,"Lawrence Adam "Larry" Nuesslein",M,2,1,2
89893,3,"Simone Osygus (-Brune)",F,0,2,2
90671,2,"Yuliya Vladimirovna Pakhalina",F,1,3,1
91038,3,"Pang Jiaying",F,0,2,2
92142,3,"Ivan Patzaichin",M,4,3,0
